ANIMAL;GRUPO;NO_OBJ_1_FREQ_MIN_1;NO_OBJ_1_DUR_MIN_1;NO_OBJ_2_FREQ_MIN_1;NO_OBJ_2_DUR_MIN_1;NO_OBJ_3_FREQ_MIN_1;NO_OBJ_3_DUR_MIN_1;NO_OBJ_4_FREQ_MIN_1;NO_OBJ_4_DUR_MIN_1;OBJ_1_FREQ_MIN_1;OBJ_1_DUR_MIN_1;OBJ_2_FREQ_MIN_1;OBJ_2_DUR_MIN_1;OBJ_3_FREQ_MIN_1;OBJ_3_DUR_MIN_1;OBJ_4_FREQ_MIN_1;OBJ_4_DUR_MIN_1;NO_OBJ_1_FREQ_MIN_3;NO_OBJ_1_DUR_MIN_3;NO_OBJ_2_FREQ_MIN_3;NO_OBJ_2_DUR_MIN_3;NO_OBJ_3_FREQ_MIN_3;NO_OBJ_3_DUR_MIN_3;NO_OBJ_4_FREQ_MIN_3;NO_OBJ_4_DUR_MIN_3;OBJ_1_FREQ_MIN_3;OBJ_1_DUR_MIN_3;OBJ_2_FREQ_MIN_3;OBJ_2_DUR_MIN_3;OBJ_3_FREQ_MIN_3;OBJ_3_DUR_MIN_3;OBJ_4_FREQ_MIN_3;OBJ_4_DUR_MIN_3;NO_OBJ_AVG_DUR_MIN_3;NO_OBJ_AVG_FREQ_MIN_3;OBJ_AVG_DUR_MIN_3;OBJ_AVG_FREQ_MIN_3
R0G68S1;1;0;0;1;,333333333333343;3;1,96666666666667;1;,533333333333331;3;1,16666666666666;0;0;0;0;5;1,66666666666668;2;,566666666666677;1;,333333333333343;6;3,00000000000003;2;1,63333333333333;3;1,16666666666666;1;,13333333333334;1;,0666666666666629;8;2,00000000000002;1,38333333333334;2,75;,841666666666673;3,25
R1G42S1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;,700000000000003;0;0;0;0;2;,833333333333343;3;3,73333333333335;2;1,73333333333332;5;6,76666666666664;7;8,36666666666665;,383333333333336;,75;5,14999999999999;4,25
R1G45S1;1;0;0;3;1,43333333333332;0;0;1;,200000000000003;2;1,86666666666666;1;,966666666666669;0;0;1;,133333333333333;7;4,16666666666671;4;3,36666666666665;5;1,69999999999998;1;,200000000000003;4;3,3;3;1,73333333333333;7;2,00000000000007;5;2,00000000000002;2,35833333333334;4,25;2,25833333333336;4,75
R1G65S1;0;1;,600000000000001;0;0;1;1,36666666666667;0;0;2;3,26666666666666;0;0;0;0;0;0;1;,600000000000001;2;1,96666666666668;1;1,36666666666667;2;1,4;5;4,39999999999998;4;9,73333333333329;2;2,09999999999998;3;2,19999999999999;1,33333333333334;1,5;4,60833333333331;3,5
R2G0S1;1;0;0;0;0;0;0;0;0;7;2,36666666666665;0;0;0;0;1;,899999999999991;2;1,69999999999997;1;,133333333333368;1;,5;0;0;9;4,53333333333331;0;0;5;1,13333333333333;3;1,23333333333333;,583333333333336;1;1,72499999999999;4,25
R2G45S1;0;1;1,43333333333333;1;1,26666666666667;0;0;1;,666666666666671;1;,233333333333334;2;3,1;2;2,63333333333333;0;0;2;2,23333333333332;8;6,10000000000004;3;1,36666666666665;1;,666666666666671;5;4,03333333333335;4;4,9;3;4,29999999999999;2;5,96666666666665;2,59166666666667;3,5;4,8;3,5
R2G65S1;0;2;3,56666666666666;0;0;1;1,36666666666667;0;0;1;,06666666666667;0;0;0;0;0;0;3;5,23333333333335;1;2,39999999999998;2;3,23333333333336;5;2,26666666666665;3;1,23333333333331;3;2,39999999999998;3;1,33333333333329;3;1,33333333333333;3,28333333333333;2,75;1,57499999999998;3
R2G66S1;1;1;,866666666666667;1;,533333333333335;0;0;0;0;1;,300000000000001;1;,166666666666664;1;,100000000000001;0;0;4;1,53333333333328;3;1,70000000000001;1;,0666666666666629;1;,900000000000006;3;,500000000000032;6;,599999999999987;4;2,43333333333336;1;,0333333333333314;1,04999999999999;2,25;,891666666666677;3,5
R2G67S1;1;1;,766666666666666;0;0;2;,299999999999999;1;1,16666666666666;3;,433333333333337;3;1,06666666666666;1;,599999999999998;3;2,73333333333334;2;1,86666666666666;3;1,56666666666665;3;,833333333333345;5;3,96666666666666;6;1,93333333333335;7;3,20000000000002;8;1,46666666666671;6;4,86666666666668;2,05833333333333;3,25;2,86666666666669;6,75
R3G0S1;0;0;0;0;0;0;0;2;1,1;1;3,2;0;0;0;0;3;2,2;1;1,53333333333333;0;0;1;2,2;3;2,46666666666667;2;3,73333333333333;0;0;1;3,33333333333334;6;4,19999999999999;1,55;1,25;2,81666666666666;2,25
R3G64S1;0;0;0;0;0;2;,266666666666666;0;0;2;,400000000000001;0;0;2;,599999999999994;0;0;2;,36666666666666;0;0;4;,533333333333317;0;0;3;1,03333333333337;2;1,03333333333337;5;1,06666666666669;3;1,56666666666666;,224999999999994;1,5;1,17500000000002;3,25
R3G65S1;1;2;1,06666666666667;2;1,13333333333334;1;,766666666666673;1;,166666666666671;1;,06666666666667;1;1,3;0;0;0;0;6;3,8;2;1,13333333333334;1;1,40000000000001;1;,166666666666671;1;,06666666666667;1;1,3;0;0;1;,26666666666668;1,625;2,5;,408333333333339;,75
R3G66S1;0;2;2,06666666666666;1;,199999999999996;0;0;1;,466666666666667;1;,133333333333333;1;,733333333333334;3;1,1;2;,399999999999999;2;2,06666666666666;1;,199999999999996;2;1,7;3;2,03333333333329;1;,133333333333333;2;2,36666666666667;3;1,1;4;1,13333333333338;1,49999999999999;2;1,18333333333335;2,5
R3G67S1;0;1;,266666666666659;0;0;0;0;1;,06666666666667;1;,200000000000003;1;,133333333333333;3;,866666666666667;0;0;4;2,2333333333333;1;,333333333333314;2;2,39999999999998;3;1,6;7;1,33333333333333;1;,133333333333333;4;1,6;3;1,06666666666669;1,64166666666665;2,5;1,03333333333334;3,75
R3G68S1;0;1;2,13333333333333;1;2,13333333333334;2;1,56666666666667;1;,833333333333332;2;,299999999999999;1;,133333333333333;0;0;0;0;7;9,33333333333331;4;3,36666666666669;6;5,63333333333333;3;2,30000000000003;5;2,63333333333333;5;2,6;2;1;4;1,56666666666666;5,15833333333334;5;1,95;4
R4G64S1;0;3;2,6;3;2,46666666666665;0;0;0;0;2;3,46666666666667;4;,400000000000002;0;0;2;,533333333333331;5;5,20000000000003;6;4,89999999999993;3;3,26666666666667;5;5;4;4,13333333333332;10;3,06666666666666;4;4,6333333333333;7;1,5;4,59166666666666;4,75;3,33333333333332;6,25
R4G65S1;1;0;0;0;0;0;0;1;,4;1;,266666666666673;2;,766666666666669;0;0;1;,833333333333336;1;1,03333333333333;4;3,63333333333338;2;,533333333333331;4;1,60000000000002;3;1,40000000000002;3;1,03333333333333;0;0;2;1,33333333333334;1,70000000000002;2,75;,941666666666673;2
R4G66S1;0;2;2,06666666666667;3;,466666666666665;0;0;1;,233333333333333;4;2,96666666666667;1;,233333333333327;1;,533333333333339;0;0;7;3,96666666666669;5;3,09999999999999;6;3,79999999999997;5;2,16666666666668;7;6,7333333333333;1;,233333333333327;2;,600000000000001;0;0;3,25833333333333;5,75;1,89166666666666;2,5
