rat_id,group,session,trajectory_length,unique_locations,spatial_spread,path_efficiency,area_coverage,revisit_ratio
R0G39,saline,S1,7605.385642762967,714,28.674419124183686,0.014747226912489001,44330.32203207004,0.9219842657342657
R0G39,saline,S2,7291.136996962784,657,33.8026183913735,0.015299566157208053,45000.67668015306,0.928220255653884
R0G39,saline,T,6723.398884966635,560,25.661830881434884,0.016244209395606952,43773.37026278936,0.9388178739211188
R0G68,muscimol,S1,18354.04799132172,303,15.400832719513392,0.005757619712544666,48626.63410853075,0.9666739991201055
R0G68,muscimol,S2,6119.177002872387,511,27.372780413877365,0.04002050161971062,50456.80756046465,0.9432726465364121
R0G68,muscimol,T,4917.659114308688,273,14.760340191510283,0.028110157191625972,26865.849103105058,0.9699736031676199
R1G42,saline,S1,10838.76080997349,1007,36.290734682827484,0.009404585166638087,61047.76633252536,0.8899814268545831
R1G42,saline,S2,9056.431333621756,826,25.939331469151742,0.010682574825108712,49990.93654652605,0.9097563640336501
R1G42,saline,T,4989.439093716037,397,22.926316041611834,0.04908810666069455,40477.983823026545,0.9566167631952792
R1G43,muscimol,S1,8709.347594783565,736,24.54734262864279,0.01790800517140694,53926.95991843916,0.9195716315156813
R1G43,muscimol,S2,3401.554619943643,314,16.621528713726246,0.02905685101886106,40456.49278499532,0.9656943078771987
R1G43,muscimol,T,2060.1814505811576,95,14.516527539354174,0.005215100614236003,7562.5916231677975,0.9895050817498895
R1G45,muscimol,S1,11491.761729520587,876,34.86269705134238,0.009254422513868646,54041.946231198526,0.9042936742051786
R1G45,muscimol,S2,6550.118537297696,682,36.0330731639113,0.0072339244492945305,48549.523563441064,0.9254807692307693
R1G45,muscimol,T,6336.025761826149,601,32.03769537261414,0.027854278572480334,49046.83385681741,0.9343384682617721
R1G65,saline,S1,10907.790046695904,850,24.14557913335657,0.024214923129182615,66135.41068280663,0.9057440674207141
R1G65,saline,S2,48388.21075284438,650,28.62823677169439,5.803527825370112e-05,64595.26903581362,0.9285085789705235
R1G65,saline,T,40867.480223405364,698,18.51665208333194,0.004735153270363354,64134.721820177394,0.9232292124945006
R1G68,muscimol,S1,6004.090404163018,512,20.754982804151616,0.006281418749744909,45887.030257021244,0.9431490117699312
R1G68,muscimol,S2,6034.6831267620855,387,21.18760955727932,0.014853164983174143,44020.11941950267,0.9574351077870655
R1G68,muscimol,T,5152.307624659066,306,17.602460076856584,0.04324156872448163,44549.432586420306,0.9660753880266075
R2G0,muscimol,S1,10752.355928211238,923,37.240032792029496,0.016061474715562428,56064.895922260075,0.8985602813495989
R2G0,muscimol,S2,11606.02919395449,1141,31.200193362384983,0.009581999799577053,60428.60529155438,0.8752460091843429
R2G0,muscimol,T,11860.773640713665,1079,33.094525432121394,0.009692079094271736,59792.51649866448,0.8813242410910691
R2G39,saline,S2,3426.569656146445,196,23.25063133308823,0.043815653248613175,20653.08474164749,0.9777550788786744
R2G39,saline,T,1455.1392239472652,43,11.96881488503728,0.09721763379265398,3165.037035366274,0.9953020867475145
R2G45,saline,S1,10327.221213850935,854,29.68148339898909,0.010685703548893553,62989.51543287985,0.9066870629370629
R2G45,saline,S2,5447.5048241181175,393,18.867009162188754,0.01745523574938529,41757.967928064296,0.9570632579482137
R2G45,saline,T,7029.3110147916595,683,32.06066390149189,0.0017793291486610848,56335.38693900656,0.9253551912568306
R2G65,saline,S1,11331.809529000344,877,33.88920088015012,0.01266016243645311,62548.173455579206,0.9035309646903531
R2G65,saline,S2,8546.946171598971,785,34.30424647015672,0.02920815685228861,64061.460037925695,0.9125835189309577
R2G65,saline,T,7621.904992719696,715,25.90047653811604,0.015404800548120993,56517.06045566799,0.9209770114942528
R2G66,muscimol,S1,14568.117698802296,1097,38.63043280095898,0.002991002792214994,60831.90575187969,0.8793312066879331
R2G66,muscimol,S2,10080.212828924132,925,33.53172680449451,0.014702944009526216,56974.0077834116,0.8976883088153965
R2G66,muscimol,T,8368.51813240588,686,34.16232338721457,0.014681717694155206,51613.702479934196,0.924623667728821
R2G67,muscimol,S1,10977.591533875428,796,21.544923477314956,0.01726295625870454,60746.233374443545,0.9124119718309859
R2G67,muscimol,S2,8282.567464820339,616,21.603418036461694,0.028107079081516436,64011.31325330323,0.9316921712131293
R2G67,muscimol,T,4981.589416273283,482,26.77801314943598,0.015545384112819256,56725.35174374987,0.9469396741523558
R3G0,saline,S1,9801.379492765516,843,33.861154961120356,0.005950576531734012,53327.29707702728,0.9073320875013741
R3G0,saline,S2,6531.809729192541,491,17.053000691145268,0.007551539217192559,27924.73565049914,0.945990540094599
R3G0,saline,T,5921.479282850133,444,18.885036620675034,0.0071691442715322426,28517.237304905502,0.951486013986014
R3G45,muscimol,S1,6194.372227562273,376,30.344502494413007,0.02493553331353984,27761.24696237675,0.9580310302489117
R3G45,muscimol,S2,3701.3914531137716,276,32.27809982361529,0.031696723083389694,33378.88046862958,0.969179229480737
R3G45,muscimol,T,2758.972292667837,118,8.637891109615179,0.04271114884696491,8170.720173229248,0.9871066433566433
R3G64,saline,S1,9536.35752264396,622,27.827927797227623,0.01263043585524918,45218.00739253051,0.9315882094148702
R3G64,saline,S2,65120.19736692629,284,34.46452937925897,0.000938352004481074,54563.516847868836,0.968763748350198
R3G64,saline,T,12816.515385367558,502,21.866168319954017,0.0028922375599087073,51353.21717200019,0.9447684013642865
R3G65,muscimol,S1,8444.786001310054,484,19.49067122510794,0.02506059677414314,48010.571776836754,0.9466960352422907
R3G65,muscimol,S2,5351.874171906492,304,18.03367560233171,0.01861075761377487,35113.40883996879,0.9665640123185217
R3G65,muscimol,T,4820.64071067867,338,18.4447118538692,0.028064149096997313,47097.8419244987,0.9628244610646722
R3G66,saline,S1,10931.256175099199,758,24.335158963575022,0.0035697241508094316,64914.7033702373,0.9162153199955787
R3G66,saline,S2,8658.989053674446,651,23.313500192975486,0.003873005534089779,57428.42726508225,0.9283985921689397
R3G66,saline,T,8171.552563281053,649,33.31598553567245,0.02265528838960432,58768.02180873256,0.9281443755535872
R3G67,saline,S1,9025.310393563163,853,30.83827837525365,0.023353292575130215,52222.75145818379,0.9055893746541228
R3G67,saline,S2,9269.206351892397,851,28.148466534691376,0.0285360059847485,51502.05529284534,0.9058003099402259
R3G67,saline,T,9869.942345290168,850,34.39186355833737,0.012290491167071729,53668.34412529891,0.9059214167127836
R3G68,saline,S1,12616.147966999404,969,37.18938678082096,0.010374544235232123,59464.84662826285,0.8927385432809387
R3G68,saline,S2,13410.489873815113,1026,29.127187320387947,0.012839172122567917,64300.12889529742,0.8866423599602253
R3G68,saline,T,11490.986285294724,942,33.03159418306861,0.007475356401117648,66027.26185253068,0.8958079858422741
R4G64,saline,S1,12896.910458042996,961,31.5168440387648,0.005767471715100021,56803.718214345776,0.8942794279427942
R4G64,saline,S2,12005.786117270854,902,35.720288888343305,0.009009423899454153,64383.71917056295,0.9007919049714035
R4G64,saline,T,9787.65773285448,809,33.9939617080978,0.015971857701657467,59107.831591905546,0.9110206775186978
R4G65,muscimol,S1,9400.847721956856,693,22.15194596661076,0.02501781127464784,65760.76756820474,0.9233322270162628
R4G65,muscimol,S2,5411.25057502666,306,19.71755749236409,0.037807638940506386,41244.78980018561,0.9660979392865057
R4G65,muscimol,T,4044.3393050090876,372,23.34094928175558,0.032094598341692135,44323.88242926025,0.9588677576293675
R4G66,saline,S1,9618.832514061482,743,24.481030750679913,0.020264587492340516,59969.702914202346,0.9179730624862
R4G66,saline,S2,8882.187634875307,719,23.83587505988694,0.015359347335024733,63532.944517150005,0.9209194896612407
R4G66,saline,T,8413.795301544966,603,22.61495633961011,0.01492900016402829,63228.66510005553,0.9332743166980193
R4G67,saline,S1,9070.834656911251,767,32.305092359979156,0.020064096041033905,63666.33009620113,0.9150232661200974
R4G67,saline,S2,8018.81961063635,570,19.415202547158678,0.014060140356930283,56844.84178286419,0.9368491025925105
R4G67,saline,T,5988.631942054646,398,21.268566667492404,0.03742525200704548,41619.52021812321,0.95598805706071
